57.345;35.101;0.5
67.88;24.092;0.5
67.919;23.924;0.2
67.916;23.751;0.2
67.872;23.584;0.2
67.789;23.433;0.2
67.671;23.307;0.2
63.83;23.638;0.5
59.99;23.969;0.5
56.149;24.3;0.5
52.308;24.631;0.5
48.334;24.873;0.2
48.183;24.817;0.2
48.024;24.796;0.2
47.865;24.812;0.2
47.712;24.863;0.2
46.927;27.028;0.5
46.141;29.194;0.5
45.356;31.36;0.5
44.57;33.526;0.5
43.68;35.752;0.2
43.587;35.829;0.2
43.509;35.921;0.2
43.448;36.024;0.2
43.405;36.137;0.2
44.394;37.926;0.5
45.384;39.715;0.5
46.373;41.504;0.5
47.363;43.293;0.5
48.326;45.241;0.2
48.336;45.403;0.2
48.383;45.558;0.2
48.464;45.698;0.2
48.574;45.816;0.2
51.448;45.582;0.5
54.321;45.347;0.5
57.194;45.112;0.5
60.067;44.877;0.5
63.02;44.701;0.2
63.106;44.748;0.2
63.198;44.782;0.2
63.295;44.803;0.2
63.393;44.811;0.2
65.204;43.026;0.5
67.016;41.242;0.5
68.828;39.458;0.5
70.639;37.673;0.5
72.623;35.869;0.2
72.785;35.808;0.2
72.927;35.71;0.2
73.041;35.58;0.2
73.12;35.426;0.2
72.072;33.159;0.5
71.024;30.892;0.5
69.976;28.625;0.5
68.928;26.359;0.5
68.117;24.176;0.2
68.035;24.074;0.2
67.925;23.995;0.2
67.806;23.931;0.2
67.693;23.881;0.2
67.597;23.842;0.2
63.727;23.948;0.5
59.966;24.272;0.5
56.205;24.596;0.5
52.445;24.92;0.5
48.55;25.156;0.2
48.4;25.099;0.2
48.241;25.079;0.2
48.081;25.094;0.2
47.929;25.145;0.2
47.166;27.249;0.5
46.403;29.353;0.5
45.639;31.458;0.5
44.876;33.562;0.5
44.009;35.726;0.2
43.916;35.803;0.2
43.838;35.895;0.2
43.776;35.999;0.2
43.733;36.111;0.2
44.691;37.842;0.5
45.648;39.574;0.5
46.606;41.305;0.5
47.564;43.036;0.5
48.495;44.927;0.2
48.505;45.088;0.2
48.552;45.243;0.2
48.633;45.383;0.2
48.743;45.502;0.2
51.556;45.272;0.5
54.369;45.042;0.5
57.182;44.812;0.5
59.995;44.582;0.5
62.887;44.411;0.2
62.973;44.458;0.2
63.066;44.492;0.2
63.162;44.513;0.2
63.26;44.521;0.2
65.026;42.781;0.5
66.792;41.042;0.5
68.558;39.302;0.5
70.324;37.563;0.5
72.262;35.803;0.2
72.424;35.742;0.2
72.566;35.644;0.2
