P0;;33.033;31.666;0.5
P1;;18.633997427;31.141362557;0.5
P2;;18.373678233;31.181662045;0.2
P3;;18.146172749;31.314445251;0.2
P4;;17.98305423;31.521284498;0.2
P5;;17.906960305;31.773474585;0.2
P6;;17.928451306;32.03601651;0.2
P7;;20.680547736;33.598497024;0.5
P8;;23.43264416;35.160977577;0.5
P9;;26.184740584;36.72345813;0.5
P10;;28.936837008;38.285938684;0.5
P11;;31.731137153;39.96226723;0.2
P12;;31.792195564;40.067216683;0.2
P13;;31.870308366;40.160173165;0.2
P14;;31.963172401;40.238395849;0.2
P15;;32.068049569;40.299578338;0.2
P16;;34.728469545;39.348731868;0.5
P17;;37.388889538;38.397885404;0.5
P18;;40.049309531;37.447038941;0.5
P19;;42.709729525;36.496192477;0.5
P20;;45.571386456;35.606047082;0.2
P21;;45.781575925;35.604911656;0.2
P22;;45.98214527;35.542040041;0.2
P23;;46.155371824;35.422987686;0.2
P24;;46.285948978;35.258274271;0.2
P25;;45.766418775;33.338367395;0.5
P26;;45.24688864;31.418460487;0.5
P27;;44.727358505;29.498553579;0.5
P28;;44.20782837;27.57864667;0.5
P29;;43.755726505;25.498232319;0.2
P30;;43.781893479;25.326114679;0.2
P31;;43.765212941;25.15282027;0.2
P32;;43.706696037;24.988853919;0.2
P33;;43.609889967;24.844154999;0.2
P34;;40.36806378;24.609189006;0.5
P35;;37.126237585;24.374222956;0.5
P36;;33.884411389;24.139256905;0.5
P37;;30.642585193;23.904290855;0.5
P38;;27.31763167;23.587850955;0.2
P39;;27.222264711;23.521118044;0.2
P40;;27.117242197;23.470934282;0.2
P41;;27.005409847;23.438659464;0.2
P42;;26.889797902;23.425168116;0.2
P43;;25.238637761;24.968407002;0.5
P44;;23.587477677;26.51164589;0.5
P45;;21.936317594;28.054884779;0.5
P46;;20.28515751;29.598123668;0.5
P47;;18.542066141;30.898339372;0.2
P48;;18.500191867;31.039976208;0.2
P49;;18.506588361;31.195368105;0.2
P50;;18.536233761;31.350633141;0.2
P51;;18.574730308;31.493423907;0.2
P52;;18.611041784;31.611430089;0.2
P53;;21.088607258;33.485191583;0.5
P54;;23.745820888;34.993803196;0.5
P55;;26.403034518;36.502414808;0.5
P56;;29.060248149;38.01102642;0.5
P57;;31.759665501;39.633486026;0.2
P58;;31.820723912;39.73843548;0.2
P59;;31.898836715;39.831391962;0.2
P60;;31.99170075;39.909614646;0.2
P61;;32.096577918;39.970797135;0.2
P62;;34.678894258;39.047865262;0.5
P63;;37.261210614;38.124933395;0.5
P64;;39.843526971;37.202001529;0.5
P65;;42.425843327;36.279069662;0.5
P66;;45.209396621;35.416838863;0.2
P67;;45.419586091;35.415703436;0.2
P68;;45.620155436;35.352831821;0.2
P69;;45.793381989;35.233779465;0.2
P70;;45.923959143;35.06906605;0.2
P71;;45.430029809;33.243766378;0.5
P72;;44.936100543;31.418466673;0.5
P73;;44.442171278;29.593166969;0.5
P74;;43.948242012;27.767867265;0.5
P75;;43.521741016;25.782060118;0.2
P76;;43.547907989;25.609942478;0.2
P77;;43.53122745;25.43664807;0.2
P78;;43.472710546;25.272681719;0.2
P79;;43.375904477;25.1279828;0.2
P80;;40.202689327;24.897989703;0.5
P81;;37.029474168;24.667996549;0.5
P82;;33.85625901;24.438003394;0.5
P83;;30.683043851;24.20801024;0.5
P84;;27.426701364;23.896543236;0.2
P85;;27.331334406;23.829810325;0.2
P86;;27.226311892;23.779626563;0.2
P87;;27.114479542;23.747351745;0.2
P88;;26.998867597;23.733860397;0.2
P89;;25.42648198;25.203473526;0.5
P90;;23.85409642;26.673086659;0.5
P91;;22.281710861;28.142699791;0.5
P92;;20.709325301;29.612312924;0.5
P93;;19.045011454;30.838903825;0.2
P94;;19.003135284;30.980540648;0.2
P95;;19.009531777;31.13593254;0.2
P96;;19.039175335;31.291197532;0.2
P97;;19.077673944;31.433988248;0.2
P98;;19.113985581;31.551994352;0.2
P99;;21.496666779;33.371886142;0.5
P100;;24.058997616;34.826628814;0.5
P101;;26.621328453;36.281371485;0.5
P102;;29.18365929;37.736114157;0.5
P103;;31.788193849;39.304704822;0.2
P104;;31.84925226;39.409654276;0.2
P105;;31.927365063;39.502610758;0.2
P106;;32.020229099;39.580833443;0.2
P107;;32.125106267;39.642015932;0.2
P108;;34.62931897;38.746998655;0.5
P109;;37.133531689;37.851981386;0.5
P110;;39.637744409;36.956964116;0.5
P111;;42.141957128;36.061946847;0.5
P112;;44.847406786;35.227630644;0.2
P113;;45.057596255;35.226495217;0.2
P114;;45.2581656;35.163623601;0.2
P115;;45.431392153;35.044571245;0.2
P116;;45.561969306;34.879857829;0.2
P117;;45.093640842;33.149165361;0.5
