P0;33033.000000;31666.000000;0.000000;0.500000
P1;18633.997427;31141.362557;2.389966;0.500000
P2;18373.678233;31181.662045;2.015245;0.200000
P3;18146.172749;31314.445251;1.640525;0.200000
P4;17983.054230;31521.284498;1.265804;0.200000
P5;17906.960305;31773.474585;0.891083;0.200000
P6;17928.451306;32036.016510;0.516363;0.200000
P7;20680.547736;33598.497024;0.516363;0.500000
P8;23432.644160;35160.977577;0.516363;0.500000
P9;26184.740584;36723.458130;0.516363;0.500000
P10;28936.837008;38285.938684;0.516363;0.500000
P11;31731.137153;39962.267230;0.344439;0.200000
P12;31792.195564;40067.216683;0.172515;0.200000
P13;31870.308366;40160.173165;0.000591;0.200000
P14;31963.172401;40238.395849;-0.171332;0.200000
P15;32068.049569;40299.578338;-0.343256;0.200000
P16;34728.469545;39348.731868;-0.343256;0.500000
P17;37388.889538;38397.885404;-0.343256;0.500000
P18;40049.309531;37447.038941;-0.343256;0.500000
P19;42709.729525;36496.192477;-0.343256;0.500000
P20;45571.386456;35606.047082;-0.641619;0.200000
P21;45781.575925;35604.911656;-0.939981;0.200000
P22;45982.145270;35542.040041;-1.238344;0.200000
P23;46155.371824;35422.987686;-1.536706;0.200000
P24;46285.948978;35258.274271;-1.835069;0.200000
P25;45766.418775;33338.367395;-1.835069;0.500000
P26;45246.888640;31418.460487;-1.835069;0.500000
P27;44727.358505;29498.553579;-1.835069;0.500000
P28;44207.828370;27578.646670;-1.835069;0.500000
P29;43755.726505;25498.232319;-2.081903;0.200000
P30;43781.893479;25326.114679;-2.328737;0.200000
P31;43765.212941;25152.820270;-2.575571;0.200000
P32;43706.696037;24988.853919;-2.822405;0.200000
P33;43609.889967;24844.154999;-3.069240;0.200000
P34;40368.063780;24609.189006;-3.069240;0.500000
P35;37126.237585;24374.222956;-3.069240;0.500000
P36;33884.411389;24139.256905;-3.069240;0.500000
P37;30642.585193;23904.290855;-3.069240;0.500000
P38;27317.631670;23587.850955;-3.234036;0.200000
P39;27222.264711;23521.118044;-3.398831;0.200000
P40;27117.242197;23470.934282;-3.563627;0.200000
P41;27005.409847;23438.659464;-3.728423;0.200000
P42;26889.797902;23425.168116;-3.893219;0.200000
P43;25238.637761;24968.407002;2.389966;0.500000
P44;23587.477677;26511.645890;2.389966;0.500000
P45;21936.317594;28054.884779;2.389966;0.500000
P46;20285.157510;29598.123668;2.389966;0.500000
P47;18542.066141;30898.339372;1.467644;0.200000
P48;18500.191867;31039.976208;1.334583;0.200000
P49;18506.588361;31195.368105;1.262171;0.200000
P50;18536.233761;31350.633141;1.216745;0.200000
P51;18574.730308;31493.423907;1.185147;0.200000
P52;18611.041784;31611.430089;1.160687;0.200000
P53;21088.607258;33485.191583;0.516363;0.500000
P54;23745.820888;34993.803196;0.516363;0.500000
P55;26403.034518;36502.414808;0.516363;0.500000
P56;29060.248149;38011.026420;0.516363;0.500000
P57;31759.665501;39633.486026;0.344439;0.200000
P58;31820.723912;39738.435480;0.172515;0.200000
P59;31898.836715;39831.391962;0.000591;0.200000
P60;31991.700750;39909.614646;-0.171332;0.200000
P61;32096.577918;39970.797135;-0.343256;0.200000
P62;34678.894258;39047.865262;-0.343256;0.500000
P63;37261.210614;38124.933395;-0.343256;0.500000
P64;39843.526971;37202.001529;-0.343256;0.500000
P65;42425.843327;36279.069662;-0.343256;0.500000
P66;45209.396621;35416.838863;-0.641619;0.200000
P67;45419.586091;35415.703436;-0.939981;0.200000
P68;45620.155436;35352.831821;-1.238344;0.200000
P69;45793.381989;35233.779465;-1.536706;0.200000
P70;45923.959143;35069.066050;-1.835069;0.200000
P71;45430.029809;33243.766378;-1.835069;0.500000
P72;44936.100543;31418.466673;-1.835069;0.500000
P73;44442.171278;29593.166969;-1.835069;0.500000
P74;43948.242012;27767.867265;-1.835069;0.500000
P75;43521.741016;25782.060118;-2.081903;0.200000
P76;43547.907989;25609.942478;-2.328737;0.200000
P77;43531.227450;25436.648070;-2.575571;0.200000
P78;43472.710546;25272.681719;-2.822405;0.200000
P79;43375.904477;25127.982800;-3.069240;0.200000
P80;40202.689327;24897.989703;-3.069240;0.500000
P81;37029.474168;24667.996549;-3.069240;0.500000
P82;33856.259010;24438.003394;-3.069240;0.500000
P83;30683.043851;24208.010240;-3.069240;0.500000
P84;27426.701364;23896.543236;-3.234036;0.200000
P85;27331.334406;23829.810325;-3.398831;0.200000
P86;27226.311892;23779.626563;-3.563627;0.200000
P87;27114.479542;23747.351745;-3.728423;0.200000
P88;26998.867597;23733.860397;-3.893219;0.200000
P89;25426.481980;25203.473526;2.389966;0.500000
P90;23854.096420;26673.086659;2.389966;0.500000
P91;22281.710861;28142.699791;2.389966;0.500000
P92;20709.325301;29612.312924;2.389966;0.500000
P93;19045.011454;30838.903825;1.467644;0.200000
P94;19003.135284;30980.540648;1.334583;0.200000
P95;19009.531777;31135.932540;1.262171;0.200000
P96;19039.175335;31291.197532;1.216746;0.200000
P97;19077.673944;31433.988248;1.185148;0.200000
P98;19113.985581;31551.994352;1.160688;0.200000
P99;21496.666779;33371.886142;0.516363;0.500000
P100;24058.997616;34826.628814;0.516363;0.500000
P101;26621.328453;36281.371485;0.516363;0.500000
P102;29183.659290;37736.114157;0.516363;0.500000
P103;31788.193849;39304.704822;0.344439;0.200000
P104;31849.252260;39409.654276;0.172515;0.200000
P105;31927.365063;39502.610758;0.000591;0.200000
P106;32020.229099;39580.833443;-0.171332;0.200000
P107;32125.106267;39642.015932;-0.343256;0.200000
P108;34629.318970;38746.998655;-0.343256;0.500000
P109;37133.531689;37851.981386;-0.343256;0.500000
P110;39637.744409;36956.964116;-0.343256;0.500000
P111;42141.957128;36061.946847;-0.343256;0.500000
P112;44847.406786;35227.630644;-0.641619;0.200000
P113;45057.596255;35226.495217;-0.939981;0.200000
P114;45258.165600;35163.623601;-1.238344;0.200000
P115;45431.392153;35044.571245;-1.536706;0.200000
P116;45561.969306;34879.857829;-1.835069;0.200000
P117;45093.640842;33149.165361;-1.835069;0.500000
P118;44625.312446;31418.472861;-1.835069;0.500000
P119;44156.984049;29687.780361;-1.835069;0.500000
P120;43688.655653;27957.087861;-1.835069;0.500000
P121;43287.755526;26065.887918;-2.081903;0.200000
P122;43313.922499;25893.770279;-2.328737;0.200000
P123;43297.241960;25720.475871;-2.575571;0.200000
P124;43238.725056;25556.509520;-2.822405;0.200000
P125;43141.918986;25411.810601;-3.069240;0.200000
P126;40037.314874;25186.790401;-3.069240;0.500000
P127;36932.710752;24961.770142;-3.069240;0.500000
P128;33828.106630;24736.749883;-3.069240;0.500000
P129;30723.502509;24511.729624;-3.069240;0.500000
P130;27535.771059;24205.235517;-3.234036;0.200000
P131;27440.404100;24138.502605;-3.398831;0.200000
P132;27335.381587;24088.318844;-3.563627;0.200000
P133;27223.549237;24056.044026;-3.728423;0.200000
P134;27107.937292;24042.552678;-3.893219;0.200000
P135;25614.326199;25438.540051;2.389966;0.500000
P136;24120.715163;26834.527427;2.389966;0.500000
P137;22627.104128;28230.514804;2.389966;0.500000
P138;21133.493092;29626.502180;2.389966;0.500000
P139;19547.952860;30779.466325;1.467644;0.200000
P140;19506.076632;30921.103161;1.334583;0.200000
P141;19512.473127;31076.495058;1.262171;0.200000
P142;19542.118582;31231.760073;1.216745;0.200000
P143;19580.615074;31374.550861;1.185147;0.200000
P144;19616.926550;31492.557042;1.160687;0.200000
P145;21904.726301;33258.580701;0.516363;0.500000
P146;24372.174344;34659.454432;0.516363;0.500000
P147;26839.622387;36060.328163;0.516363;0.500000
P148;29307.070430;37461.201893;0.516363;0.500000
P149;31816.722196;38975.923618;0.344439;0.200000
P150;31877.780608;39080.873072;0.172515;0.200000
P151;31955.893411;39173.829554;0.000591;0.200000
P152;32048.757447;39252.052239;-0.171332;0.200000
P153;32153.634616;39313.234728;-0.343256;0.200000
P154;34579.743682;38446.132048;-0.343256;0.500000
P155;37005.852764;37579.029376;-0.343256;0.500000
P156;39431.961846;36711.926704;-0.343256;0.500000
P157;41858.070929;35844.824032;-0.343256;0.500000
P158;44485.416950;35038.422426;-0.641619;0.200000
P159;44695.606419;35037.286998;-0.939981;0.200000
P160;44896.175764;34974.415381;-1.238344;0.200000
P161;45069.402317;34855.363025;-1.536706;0.200000
P162;45199.979470;34690.649609;-1.835069;0.200000
P163;44757.251875;33054.564345;-1.835069;0.500000
P164;44314.524348;31418.479049;-1.835069;0.500000
P165;43871.796821;29782.393753;-1.835069;0.500000
P166;43429.069295;28146.308456;-1.835069;0.500000
P167;43053.770036;26349.715718;-2.081903;0.200000
P168;43079.937009;26177.598079;-2.328737;0.200000
P169;43063.256470;26004.303671;-2.575571;0.200000
P170;43004.739566;25840.337321;-2.822405;0.200000
P171;42907.933497;25695.638403;-3.069240;0.200000
P172;39871.940421;25475.591098;-3.069240;0.500000
P173;36835.947336;25255.543735;-3.069240;0.500000
P174;33799.954251;25035.496372;-3.069240;0.500000
P175;30763.961167;24815.449009;-3.069240;0.500000
P176;27644.840754;24513.927798;-3.234036;0.200000
P177;27549.473795;24447.194886;-3.398831;0.200000
P178;27444.451281;24397.011125;-3.563627;0.200000
P179;27332.618932;24364.736306;-3.728423;0.200000
P180;27217.006987;24351.244958;-3.893219;0.200000
P181;25802.170417;25673.606575;2.389966;0.500000
P182;24387.333906;26995.968196;2.389966;0.500000
P183;22972.497395;28318.329816;2.389966;0.500000
P184;21557.660883;29640.691436;2.389966;0.500000
P185;20050.894266;30720.030779;1.467644;0.200000
P186;20009.020049;30861.667601;1.334583;0.200000
P187;20015.416543;31017.059493;1.262171;0.200000
P188;20045.060100;31172.324485;1.216746;0.200000
P189;20083.558654;31315.115224;1.185148;0.200000
P190;20119.870346;31433.121305;1.160688;0.200000
P191;22312.785822;33145.275260;0.516363;0.500000
P192;24685.351072;34492.280050;0.516363;0.500000
P193;27057.916321;35839.284840;0.516363;0.500000
P194;29430.481571;37186.289629;0.516363;0.500000
P195;31845.250543;38647.142414;0.344439;0.200000
P196;31906.308955;38752.091868;0.172515;0.200000
P197;31984.421758;38845.048350;0.000591;0.200000
P198;32077.285795;38923.271035;-0.171332;0.200000
P199;32182.162964;38984.453524;-0.343256;0.200000
P200;34530.168393;38145.265442;-0.343256;0.500000
P201;36878.173838;37306.077367;-0.343256;0.500000
P202;39226.179284;36466.889292;-0.343256;0.500000
P203;41574.184729;35627.701217;-0.343256;0.500000
P204;44123.427113;34849.214208;-0.641619;0.200000
P205;44333.616583;34848.078780;-0.939981;0.200000
P206;44534.185927;34785.207163;-1.238344;0.200000
P207;44707.412480;34666.154806;-1.536706;0.200000
P208;44837.989632;34501.441390;-1.835069;0.200000
P209;44420.862907;32959.963329;-1.835069;0.500000
P210;44003.736250;31418.485237;-1.835069;0.500000
P211;43586.609593;29877.007145;-1.835069;0.500000
P212;43169.482937;28335.529052;-1.835069;0.500000
P213;42819.784547;26633.543518;-2.081903;0.200000
P214;42845.951520;26461.425879;-2.328737;0.200000
P215;42829.270981;26288.131472;-2.575571;0.200000
P216;42770.754077;26124.165122;-2.822405;0.200000
P217;42673.948007;25979.466204;-3.069240;0.200000
P218;39706.565969;25764.391795;-3.069240;0.500000
P219;36739.183921;25549.317328;-3.069240;0.500000
P220;33771.801873;25334.242861;-3.069240;0.500000
P221;30804.419825;25119.168394;-3.069240;0.500000
P222;27753.910449;24822.620078;-3.234036;0.200000
P223;27658.543490;24755.887167;-3.398831;0.200000
P224;27553.520976;24705.703405;-3.563627;0.200000
P225;27441.688627;24673.428587;-3.728423;0.200000
P226;27326.076682;24659.937239;-3.893219;0.200000
P227;25990.014636;25908.673100;2.389966;0.500000
P228;24653.952649;27157.408964;2.389966;0.500000
P229;23317.890661;28406.144828;2.389966;0.500000
P230;21981.828674;29654.880692;2.389966;0.500000
P231;20553.835672;30660.593279;1.467644;0.200000
P232;20511.961398;30802.230115;1.334583;0.200000
P233;20518.357892;30957.622011;1.262171;0.200000
P234;20548.003348;31112.887026;1.216745;0.200000
P235;20586.499839;31255.677814;1.185147;0.200000
P236;20622.811315;31373.683995;1.160687;0.200000
P237;22720.845343;33031.969819;0.516363;0.500000
P238;24998.527799;34325.105668;0.516363;0.500000
P239;27276.210255;35618.241517;0.516363;0.500000
P240;29553.892711;36911.377366;0.516363;0.500000
