P0;;33.286200;31.159600;0.300000
P1;;45.370150;35.545346;0.300000
P2;;45.571386;35.606047;0.300000
P3;;45.781576;35.604912;0.300000
P4;;45.982145;35.542040;0.300000
P5;;46.155372;35.422988;0.300000
P6;;46.285949;35.258274;0.300000
P7;;45.894138;33.810350;1.000000
P8;;45.502327;32.362426;1.000000
P9;;45.110517;30.914502;1.000000
P10;;44.718706;29.466578;1.000000
P11;;44.326895;28.018654;1.000000
P12;;43.688298;25.658740;0.300000
P13;;43.755727;25.498232;0.300000
P14;;43.781893;25.326115;0.300000
P15;;43.765213;25.152820;0.300000
P16;;43.706696;24.988854;0.300000
P17;;43.609890;24.844155;0.300000
P18;;42.113814;24.735720;1.000000
P19;;40.617739;24.627285;1.000000
P20;;39.121663;24.518850;1.000000
P21;;37.625588;24.410416;1.000000
P22;;36.129513;24.301981;1.000000
P23;;34.633437;24.193546;1.000000
P24;;33.137362;24.085111;1.000000
P25;;31.641286;23.976676;1.000000
P26;;30.145211;23.868241;1.000000
P27;;28.649135;23.759807;1.000000
P28;;27.400759;23.669325;0.300000
P29;;27.317632;23.587851;0.300000
P30;;27.222265;23.521118;0.300000
P31;;27.117242;23.470934;0.300000
P32;;27.005410;23.438659;0.300000
P33;;26.889798;23.425168;0.300000
P34;;25.793929;24.449410;1.000000
P35;;24.698060;25.473652;1.000000
P36;;23.602191;26.497894;1.000000
P37;;22.506323;27.522136;1.000000
P38;;21.410454;28.546378;1.000000
P39;;20.314585;29.570620;1.000000
P40;;18.633997;31.141363;0.300000
P41;;18.373678;31.181662;0.300000
P42;;18.146173;31.314445;0.300000
P43;;17.983054;31.521284;0.300000
P44;;17.906960;31.773475;0.300000
P45;;17.928451;32.036017;0.300000
P46;;19.232883;32.776597;1.000000
P47;;20.537314;33.517177;1.000000
P48;;21.841745;34.257757;1.000000
P49;;23.146176;34.998338;1.000000
P50;;24.450607;35.738918;1.000000
P51;;25.755039;36.479498;1.000000
P52;;27.059470;37.220079;1.000000
P53;;28.363901;37.960659;1.000000
P54;;29.668332;38.701239;1.000000
P55;;31.688933;39.848419;0.300000
P56;;31.731137;39.962267;0.300000
P57;;31.792196;40.067217;0.300000
P58;;31.870308;40.160173;0.300000
P59;;31.963172;40.238396;0.300000
P60;;32.068050;40.299578;0.300000
P61;;33.480545;39.794746;1.000000
P62;;34.893041;39.289913;1.000000
P63;;36.305537;38.785081;1.000000
P64;;37.718032;38.280248;1.000000
